Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;1.163882;
2004-05-31;null;
2004-06-30;1.099301;
2004-07-31;.916701;
2004-08-31;1.047711;
2004-09-30;1.079478;
2004-10-31;1.239645;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;1.106697;
2005-08-31;1.133737;
2005-09-30;1.359206;
2005-10-31;1.385563;
2005-11-30;1.259422;
2005-12-31;1.18497;
2006-01-31;1.299216;
2006-02-28;1.228805;
2006-03-31;1.130349;
2006-04-30;1.098246;
2006-05-31;null;
2006-06-30;1.018358;
2006-07-31;1.037769;
2006-08-31;1.17753;
2006-09-30;1.315745;
2006-10-31;1.349608;
2006-11-30;1.1751;
2006-12-31;1.078771;
2007-01-31;.857416;
2007-02-28;1.472807;
2007-03-31;1.031165;
2007-04-30;.912361;
2007-05-31;.899271;
2007-06-30;.85381;
2007-07-31;.94709;
2007-08-31;.948948;
2007-09-30;.983158;
2007-10-31;1.213306;
2007-11-30;1.220417;
2007-12-31;.98629;
2008-01-31;.938979;
2008-02-29;.952155;
2008-03-31;1.052006;
2008-04-30;.910417;
2008-05-31;.760788;
2008-06-30;.718194;
2008-07-31;.896774;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;1.482411;
2010-03-31;1.526763;
2010-04-30;1.412639;
2010-05-31;1.413038;
2010-06-30;1.248472;
2010-07-31;1.463815;
2010-08-31;1.356902;
2010-09-30;1.608472;
2010-10-31;1.615323;
2010-11-30;1.559722;
2010-12-31;null;
2011-01-31;1.451478;
2011-02-28;1.35119;
2011-03-31;1.340364;
2011-04-30;1.299028;
2011-05-31;1.250672;
2011-06-30;1.524583;
2011-07-31;1.64422;
2011-08-31;1.597043;
2011-09-30;1.366528;
2011-10-31;1.343011;
2011-11-30;1.379861;
2011-12-31;1.316532;
2012-01-31;1.252151;
2012-02-29;1.417241;
2012-03-31;1.324059;
2012-04-30;1.266945;
2012-05-31;1.305242;
2012-06-30;1.465;
2012-07-31;1.331317;
2012-08-31;1.395238;
2012-09-30;1.428889;
2012-10-31;1.545296;
2012-11-30;1.338194;
2012-12-31;1.452554;
2013-01-31;1.397849;
2013-02-28;1.305655;
2013-03-31;1.330977;
2013-04-30;1.3625;
2013-05-31;1.253921;
2013-06-30;1.50733;
2013-07-31;1.383199;
2013-08-31;1.359005;
2013-09-30;1.466111;
2013-10-31;1.495699;
2013-11-30;1.481944;
2013-12-31;1.4375;
2014-01-31;1.591129;
2014-02-28;1.470685;
2014-03-31;1.631048;
2014-04-30;1.371806;
2014-05-31;1.386156;
2014-06-30;1.568333;
2014-07-31;null;
2014-08-31;null;
2014-09-30;1.779167;
2014-10-31;1.4;
2014-11-30;1.499764;
2014-12-31;1.440235;
2015-01-31;1.471847;
2015-02-28;1.686161;
2015-03-31;1.443145;
2015-04-30;1.475278;
2015-05-31;1.262769;
2015-06-30;1.635833;
2015-07-31;1.62379;
2015-08-31;1.817869;
2015-09-30;1.94119;
2015-10-31;1.778495;
2015-11-30;1.493281;
2015-12-31;1.37805;
2016-01-31;1.838002;
2016-02-29;1.676488;
2016-03-31;1.643011;
2016-04-30;1.506389;
2016-05-31;1.376882;
2016-06-30;1.369684;
2016-07-31;1.431855;
2016-08-31;1.502688;
2016-09-30;1.315327;
2016-10-31;1.552439;
2016-11-30;1.534861;
2016-12-31;1.283065;
2017-01-31;1.428763;
2017-02-28;1.36503;
2017-03-31;1.3875;
2017-04-30;1.263472;
2017-05-31;1.439785;
2017-06-30;1.311667;
2017-07-31;1.514516;
2017-08-31;1.59879;
2017-09-30;1.319306;
2017-10-31;1.532527;
2017-11-30;1.493472;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;1.536667;
2018-10-31;1.629155;
2018-11-30;1.441606;
2018-12-31;1.289382;
2019-01-31;1.4325;
2019-02-28;1.275595;
2019-03-31;1.628277;
2019-04-30;1.359861;
2019-05-31;1.107796;
2019-06-30;1.319583;
2019-07-31;1.401613;
2019-08-31;1.323909;
2019-09-30;1.377403;
2019-10-31;1.289516;
2019-11-30;1.355115;
2019-12-31;1.281317;
2020-01-31;1.29432;
2020-02-29;1.443897;
2020-03-31;1.431947;
2020-04-30;1.1625;
2020-05-31;1.199212;
2020-06-30;1.176818;
2020-07-31;1.304214;
2020-08-31;1.434018;
2020-09-30;1.312727;
2020-10-31;1.241162;
2020-11-30;1.205144;
2020-12-31;1.270086;
2021-01-31;1.133309;
2021-02-28;1.259887;
2021-03-31;1.16416;
2021-04-30;1.133485;
2021-05-31;1.133315;
2021-06-30;null;
2021-07-31;1.230242;
2021-08-31;1.270161;
2021-09-30;1.189928;
2021-10-31;1.393134;
2021-11-30;1.169088;
2021-12-31;1.125958;
2022-01-31;1.375129;
2022-02-28;1.175726;
2022-03-31;1.08234;
2022-04-30;1.099722;
2022-05-31;1.249737;
2022-06-30;1.19404;
2022-07-31;1.437686;
2022-08-31;1.487278;
2022-09-30;1.337868;
2022-10-31;1.452612;
2022-11-30;1.422103;
2022-12-31;1.281735;

